rating_avg,pages,author_followers
3.89,352 pages,1333
4.32,304 pages,book34
3.77,296 pages,4
4.04,389 pages,9969
3.85,183 pages,810
3.76,211 pages,163
4.04,151 pages,12.3k
4.03,400 pages,381
3.92,263 pages,1576
4.02,300 pages,1465
4.07,485 pages,25.1k
3.4,181 pages,296
3.01,278 pages,60
3.75,392 pages,177
3.49,416 pages,68.1k
3.93,201 pages,48
3.79,ebook,1038
3.88,416 pages,1532
4.68,372 pages,2530
3.76,354 pages,25.3k
4.26,384 pages,3688
3.93,311 pages,2451
3.92,ebook,2718
4.08,272 pages,6560
4.11,48 pages,92
4.54,572 pages,116
4.04,225 pages,720
3.46,192 pages,35
2.0,152 pages,0
3.58,137 pages,258
3.31,256 pages,15
3.48,326 pages,261
3.98,424 pages,1926
4.3,544 pages,2889
3.89,506 pages,1428
3.62,438 pages,7963
4.18,Hardcover,307
4.28,216 pages,2579
3.56,325 pages,75
3.61,80 pages,681
4.47,405 pages,22.5k
4.08,425 pages,269k
4.29,487 pages,7040
4.13,656 pages,8122
3.71,144 pages,3182
3.6,380 pages,389
4.01,385 pages,11.3k
3.57,256 pages,434
3.97,374 pages,5177
4.13,181 pages,4235
3.75,176 pages,13
4.29,256 pages,30
4.1,439 pages,9734
4.25,396 pages,book2
3.4,404 pages,1103
3.62,400 pages,3503
4.25,408 pages,7188
4.25,32 pages,42
4.02,208 pages,775
3.36,275 pages,34.4k
4.0,384 pages,1
3.76,272 pages,37
4.13,196 pages,154
4.36,460 pages,1721
3.67,306 pages,491
3.72,426 pages,234
3.47,72 pages,65
4.03,461 pages,345k
3.81,199 pages,20.1k
3.53,Kindle Edition,2
3.41,216 pages,651
3.74,333 pages,1828
3.83,320 pages,38k
3.99,441 pages,3494
4.06,168 pages,457
3.31,384 pages,book50
4.49,208 pages,381
3.83,362 pages,64.3k
3.94,492 pages,13k
4.25,310 pages,1332
3.32,291 pages,81.2k
3.61,336 pages,14.8k
3.47,192 pages,0
3.65,192 pages,721
4.07,32 pages,24.8k
3.92,406 pages,6624
4.07,240 pages,338
4.24,336 pages,12.2k
4.17,340 pages,18.2k
3.59,337 pages,179
4.17,369 pages,11.6k
4.27,1007 pages,15.4k
2.84,187 pages,1
3.2,208 pages,137
3.72,305 pages,23
3.81,373 pages,31.6k
3.88,455 pages,2479
4.44,231 pages,2529
4.31,775 pages,2417
3.83,357 pages,2242
4.17,356 pages,11.5k
4.4,279 pages,290
3.56,192 pages,155
4.14,400 pages,17.2k
4.08,435 pages,52.5k
3.65,352 pages,7976
3.8,224 pages,138
4.07,210 pages,2167
3.73,339 pages,52
3.95,384 pages,389
4.24,393 pages,69k
4.04,405 pages,4764
4.11,315 pages,16.1k
3.99,330 pages,5814
3.7,725 pages,11.8k
5.0,208 pages,1
4.17,424 pages,9774
3.3,282 pages,306
4.33,260 pages,684
4.31,256 pages,2
3.79,403 pages,4404
4.29,229 pages,189
3.92,352 pages,22.7k
3.74,661 pages,2392
3.81,318 pages,82
3.82,400 pages,3058
3.65,400 pages,427
4.01,384 pages,210
3.87,324 pages,33.4k
3.71,352 pages,9709
4.29,116 pages,1734
4.0,388 pages,68.9k
4.17,475 pages,29.5k
3.85,181 pages,171
3.78,299 pages,14.9k
4.21,152 pages,4486
3.8,368 pages,3132
4.32,272 pages,399
3.91,338 pages,27.1k
4.04,321 pages,5555
3.92,245 pages,208
3.99,430 pages,10.4k
4.12,250 pages,3
3.6,105 pages,2784
4.25,341 pages,12.3k
4.31,77 pages,1924
3.76,384 pages,book
4.29,256 pages,273
3.33,508 pages,2773
3.74,188 pages,1989
3.97,429 pages,2735
3.62,336 pages,book57
4.08,340 pages,5207
3.74,350 pages,2692
4.31,208 pages,1669
3.97,351 pages,3333
4.1,480 pages,16.4k
3.82,244 pages,431
4.01,535 pages,40
3.71,403 pages,7226
3.83,Mass Market Paperback,6
3.86,256 pages,4577
4.23,249 pages,60
4.11,347 pages,694
3.62,256 pages,227
4.58,730 pages,88
4.26,550 pages,1497
